Name;Coord;Winner;Fitness;Score;GameTime;ConquerRadius;AttackMinLife;SupportRadius;SupportMaxCap;SupportMinCap;SupportTownRatio
EA59;<3468, 5, 958>;False;30;30;523;2157;19;3874;23;64;84
EA60;<3468, 5, 958>;True;80;80;340;3591;19;2849;96;12;76
EA53;<3468, 5, 958>;True;160;160;325;3681;6;2510;68;28;71
EA25;<3468, 5, 958>;False;0;0;685;2907;65;2320;37;22;23
EA21;<3468, 5, 958>;False;25;25;613;1740;10;1916;11;75;67
EA9;<3468, 5, 958>;False;90;90;648;1143;5;1209;24;54;20
EA6;<3468, 5, 958>;True;275;275;653;2100;12;3869;74;20;49
EA197;<3468, 5, 958>;True;140;140;375;3005;5;1511;78;74;18
EA186;<3468, 5, 958>;False;15;15;673;2169;40;2691;98;92;59
EA182;<3468, 5, 958>;True;120;120;538;3421;21;441;58;36;60
EA177;<3468, 5, 958>;False;0;0;647;257;8;1358;72;12;92
EA155;<3468, 5, 958>;False;-5;-5;671;2928;58;2623;57;56;89
EA147;<3468, 5, 958>;False;-5;-5;733;1399;62;3847;82;82;15
EA141;<3468, 5, 958>;False;50;50;657;2115;36;971;71;82;34
EA131;<3468, 5, 958>;False;-5;-5;666;3931;57;1270;48;8;89
EA135;<3468, 5, 958>;True;140;140;360;3962;7;1619;10;39;9
EA121;<3468, 5, 958>;False;-5;-5;667;2661;49;1484;95;63;25
EA106;<3468, 5, 958>;False;0;0;685;1012;79;514;86;53;4
EA89;<3468, 5, 958>;False;0;0;699;2937;75;560;86;37;66
EA87;<3468, 5, 958>;False;0;0;658;3242;89;3215;18;70;23
EA79;<3468, 5, 958>;False;-5;-5;653;2030;38;722;62;88;28
EA78;<3468, 5, 958>;False;0;0;654;3900;96;1851;50;77;19
EA69;<3468, 5, 958>;False;-5;-5;717;601;28;767;90;94;17
EA71;<3468, 5, 958>;True;300;300;645;1691;13;2853;38;89;3
EA62;<3468, 5, 958>;False;-5;-5;747;3333;39;2473;43;86;85
EA61;<3468, 5, 958>;False;0;0;670;3058;71;358;60;45;8
EA56;<3468, 5, 958>;False;15;15;609;2252;34;2385;57;43;20
EA47;<3468, 5, 958>;False;25;25;659;1357;46;3966;44;81;13
EA40;<3468, 5, 958>;False;30;30;643;1846;35;3850;89;58;64
EA8;<3468, 5, 958>;False;-5;-5;709;695;72;3925;43;58;73
EA15;<3468, 5, 958>;False;40;40;642;1790;33;2251;76;8;76
EA2;<3468, 5, 958>;False;40;40;670;1582;32;2761;81;9;77
EA196;<3468, 5, 958>;False;0;0;766;388;34;3821;84;42;9
EA194;<3468, 5, 958>;False;-5;-5;668;2550;55;649;42;56;94
EA187;<3468, 5, 958>;False;0;0;668;1821;93;2733;85;96;42
EA183;<3468, 5, 958>;False;-5;-5;701;486;62;290;15;60;6
EA181;<3468, 5, 958>;False;-5;-5;618;3171;49;2034;24;29;8
EA180;<3468, 5, 958>;False;0;0;655;2664;80;1747;67;40;32
EA179;<3468, 5, 958>;True;140;140;406;3890;11;1266;41;84;48
EA159;<3468, 5, 958>;False;-5;-5;636;2411;41;1276;71;11;72
EA157;<3468, 5, 958>;False;-5;-5;688;2798;81;1354;42;43;94
EA148;<3468, 5, 958>;False;10;10;677;3761;35;3908;73;82;42
EA144;<3468, 5, 958>;False;0;0;709;3062;84;1619;59;49;56
EA136;<3468, 5, 958>;False;-5;-5;651;3332;54;199;8;60;96
EA128;<3468, 5, 958>;False;-5;-5;765;531;24;1159;26;19;13
EA124;<3468, 5, 958>;False;-5;-5;655;260;76;1478;29;43;60
EA104;<3468, 5, 958>;False;-5;-5;697;2267;61;2989;87;80;54
EA101;<3468, 5, 958>;False;-5;-5;701;429;60;1738;47;18;68
EA85;<3468, 5, 958>;False;25;25;665;1398;38;2466;62;16;57
EA68;<3468, 5, 958>;True;100;100;601;3419;16;1219;14;77;53
EA63;<3468, 5, 958>;True;435;435;781;1757;13;2921;65;96;79
EA54;<3468, 5, 958>;True;340;340;638;1573;5;2215;86;89;35
EA49;<3468, 5, 958>;False;0;0;812;390;74;1912;9;49;14
EA46;<3468, 5, 958>;False;0;0;681;1180;66;3138;73;42;45
EA42;<3468, 5, 958>;False;-5;-5;678;2317;44;1881;30;61;11
EA17;<3468, 5, 958>;True;239;240;1015;3107;22;1739;5;60;6
EA10;<3468, 5, 958>;False;-5;-5;633;2857;42;1556;68;82;78
EA175;<3468, 5, 958>;False;-5;-5;702;3665;88;1421;91;46;51
EA170;<3468, 5, 958>;False;0;0;692;1843;94;3265;20;62;70
EA146;<3468, 5, 958>;False;45;45;760;1075;28;790;20;84;48
EA137;<3468, 5, 958>;False;-5;-5;697;2490;65;776;39;82;55
EA133;<3468, 5, 958>;False;-5;-5;688;2113;48;993;46;19;20
EA127;<3468, 5, 958>;False;105;105;733;1131;20;3120;59;55;90
EA123;<3468, 5, 958>;False;10;10;694;929;32;2218;18;53;28
EA111;<3468, 5, 958>;True;275;275;808;2625;17;849;72;19;96
EA92;<3468, 5, 958>;False;0;0;825;683;85;439;47;91;25
EA91;<3468, 5, 958>;False;10;10;680;2826;21;1702;35;91;49
EA82;<3468, 5, 958>;False;-5;-5;680;3175;55;3617;57;29;37
EA43;<3468, 5, 958>;False;10;10;666;2759;20;1829;72;85;90
EA34;<3468, 5, 958>;False;0;0;686;1864;83;2652;78;74;37
EA26;<3468, 5, 958>;False;-5;-5;832;3547;65;2663;45;60;53
EA20;<3468, 5, 958>;False;95;95;900;1140;35;561;17;54;98
EA16;<3468, 5, 958>;False;0;0;705;577;79;1114;47;57;0
EA5;<3468, 5, 958>;False;150;150;839;1324;14;2194;29;59;71
EA13;<3468, 5, 958>;True;160;160;711;3644;22;3633;86;37;89
EA3;<3468, 5, 958>;False;0;0;671;1066;98;1540;94;41;14
EA161;<3468, 5, 958>;False;0;0;766;3728;77;1355;25;65;16
EA145;<3468, 5, 958>;False;-5;-5;897;3437;96;570;50;7;74
EA115;<3468, 5, 958>;False;0;0;665;663;57;1333;83;48;30
EA110;<3468, 5, 958>;False;85;85;633;1688;24;3192;86;88;94
EA99;<3468, 5, 958>;False;-5;-5;665;3063;87;403;15;22;18
EA93;<3468, 5, 958>;False;0;0;707;3332;81;3644;60;41;68
EA41;<3468, 5, 958>;False;0;0;785;3594;91;2512;50;83;52
EA11;<3468, 5, 958>;False;-5;-5;790;573;15;2864;95;32;96
EA0;<3468, 5, 958>;False;0;0;734;3831;68;1506;42;26;5
EA1;<3468, 5, 958>;False;-5;-5;732;3592;98;546;17;88;65
EA190;<3468, 5, 958>;False;0;0;806;257;20;2152;16;97;82
EA184;<3468, 5, 958>;False;10;10;700;3849;13;1207;63;94;36
EA171;<3468, 5, 958>;False;-5;-5;662;2246;44;2325;32;25;12
EA168;<3468, 5, 958>;False;10;10;702;1371;55;3374;50;87;86
EA160;<3468, 5, 958>;False;10;10;671;2829;55;649;30;42;42
EA126;<3468, 5, 958>;False;-5;-5;696;802;67;3499;62;50;87
EA94;<3468, 5, 958>;False;-5;-5;747;1608;56;2091;90;88;37
EA86;<3468, 5, 958>;False;-5;-5;694;2580;76;984;90;14;10
EA81;<3468, 5, 958>;False;-5;-5;676;684;45;330;12;21;30
EA74;<3468, 5, 958>;False;180;180;987;1829;14;2414;17;61;40
EA76;<3468, 5, 958>;False;10;10;648;3886;51;3613;61;85;12
EA73;<3468, 5, 958>;False;0;0;631;620;75;2767;35;87;97
EA64;<3468, 5, 958>;False;-5;-5;818;160;90;456;73;14;72
EA52;<3468, 5, 958>;False;0;0;712;1432;94;3100;97;41;41
EA50;<3468, 5, 958>;False;-5;-5;575;3366;25;3655;6;85;43
EA44;<3468, 5, 958>;False;15;15;655;1778;45;3273;68;6;59
EA32;<3468, 5, 958>;False;60;60;584;2057;10;3438;77;85;5
EA14;<3468, 5, 958>;False;-5;-5;706;1866;90;2156;79;98;57
EA195;<3468, 5, 958>;False;75;75;781;1097;21;2707;40;95;75
EA188;<3468, 5, 958>;False;10;10;773;2540;42;2989;69;32;23
EA134;<3468, 5, 958>;False;0;0;710;1429;61;2953;18;83;92
EA113;<3468, 5, 958>;False;-5;-5;741;1946;44;3377;57;72;42
EA112;<3468, 5, 958>;False;0;0;667;1304;81;1160;87;95;12
EA109;<3468, 5, 958>;False;-5;-5;686;1172;79;2068;68;49;26
EA108;<3468, 5, 958>;False;10;10;642;747;39;555;67;45;39
EA105;<3468, 5, 958>;False;-5;-5;545;2284;23;271;95;67;64
EA97;<3468, 5, 958>;False;-5;-5;841;3320;96;154;61;64;97
EA96;<3468, 5, 958>;False;45;45;714;1286;26;714;96;46;51
EA36;<3468, 5, 958>;False;10;10;759;3760;36;1999;55;74;23
EA38;<3468, 5, 958>;False;-5;-5;735;3717;82;3787;40;57;87
EA35;<3468, 5, 958>;False;-5;-5;618;3240;39;2280;59;45;36
EA24;<3468, 5, 958>;False;-5;-5;904;292;47;110;24;47;19
EA27;<3468, 5, 958>;False;0;0;695;2442;83;2606;84;93;83
EA7;<3468, 5, 958>;False;100;100;699;1963;12;1044;69;16;47
EA199;<3468, 5, 958>;False;0;0;786;727;22;734;96;51;45
EA191;<3468, 5, 958>;False;0;0;793;1876;86;2766;63;8;94
EA189;<3468, 5, 958>;False;15;15;722;1802;55;936;38;71;27
EA192;<3468, 5, 958>;True;140;140;474;3804;14;2756;47;68;64
EA174;<3468, 5, 958>;False;155;155;752;1349;16;305;74;5;89
EA173;<3468, 5, 958>;False;25;25;677;1402;39;2142;40;66;41
EA162;<3468, 5, 958>;False;-5;-5;806;1839;96;1435;9;56;81
EA165;<3468, 5, 958>;False;-5;-5;690;2467;92;2494;7;43;5
EA166;<3468, 5, 958>;False;-5;-5;609;3359;44;1736;88;49;62
EA167;<3468, 5, 958>;True;200;200;511;2577;12;3469;82;40;60
EA154;<3468, 5, 958>;False;40;40;577;2406;16;697;70;70;18
EA142;<3468, 5, 958>;False;10;10;676;1356;50;3506;29;82;49
EA132;<3468, 5, 958>;False;-5;-5;689;1642;60;3248;66;87;34
EA72;<3468, 5, 958>;False;0;0;692;2282;89;2313;19;80;68
EA58;<3468, 5, 958>;False;25;25;667;3547;13;1436;9;17;45
EA55;<3468, 5, 958>;False;-5;-5;607;3821;26;821;64;88;17
EA18;<3468, 5, 958>;False;-5;-5;737;3627;42;2161;97;33;34
EA12;<3468, 5, 958>;False;-5;-5;723;3277;52;3362;87;49;29
EA198;<3468, 5, 958>;False;0;0;703;2256;97;3485;57;95;59
EA176;<3468, 5, 958>;False;-5;-5;685;3303;49;1919;19;31;94
EA169;<3468, 5, 958>;False;0;0;664;175;52;648;93;12;49
EA156;<3468, 5, 958>;False;-5;-5;738;2578;68;3049;15;60;96
EA152;<3468, 5, 958>;False;-5;-5;706;1378;86;597;30;84;20
EA143;<3468, 5, 958>;False;0;0;785;215;96;3093;21;81;4
EA140;<3468, 5, 958>;False;-5;-5;792;139;84;2921;39;49;0
EA139;<3468, 5, 958>;False;0;0;678;2370;80;1031;85;42;54
EA138;<3468, 5, 958>;False;0;0;639;1370;79;793;18;64;80
EA119;<3468, 5, 958>;False;-5;-5;697;1762;84;2014;39;45;98
EA120;<3468, 5, 958>;False;45;45;684;851;5;1831;35;59;59
EA118;<3468, 5, 958>;False;-5;-5;684;601;42;3342;40;24;5
EA98;<3468, 5, 958>;False;45;45;842;2498;31;3308;85;8;52
EA88;<3468, 5, 958>;False;0;0;659;1259;93;483;78;84;69
EA84;<3468, 5, 958>;False;0;0;654;3825;61;3331;69;64;48
EA77;<3468, 5, 958>;False;-5;-5;718;345;51;942;28;56;85
EA65;<3468, 5, 958>;False;15;15;645;906;38;2728;74;66;25
EA48;<3468, 5, 958>;False;10;10;570;1759;32;988;63;85;64
EA45;<3468, 5, 958>;False;-5;-5;631;2548;42;2111;96;13;41
EA37;<3468, 5, 958>;False;25;25;796;2288;38;1573;32;41;93
EA31;<3468, 5, 958>;False;0;0;825;523;70;1188;40;6;45
EA30;<3468, 5, 958>;False;10;10;655;3966;25;2434;30;37;10
EA29;<3468, 5, 958>;False;-5;-5;722;2457;80;1790;53;12;7
EA22;<3468, 5, 958>;False;-5;-5;697;266;48;2506;89;13;15
EA28;<3468, 5, 958>;False;-5;-5;619;2949;42;3004;88;98;77
EA164;<3468, 5, 958>;False;0;0;682;858;89;3938;96;95;15
EA158;<3468, 5, 958>;False;10;10;639;1262;52;3972;82;60;66
EA151;<3468, 5, 958>;False;0;0;646;1006;84;1899;16;5;57
EA125;<3468, 5, 958>;False;-5;-5;667;3296;88;1168;31;98;47
EA116;<3468, 5, 958>;False;0;0;662;1070;70;1181;22;50;61
EA107;<3468, 5, 958>;False;25;25;627;2309;20;626;17;76;17
EA103;<3468, 5, 958>;False;-5;-5;653;2748;78;3675;54;32;60
EA100;<3468, 5, 958>;False;-5;-5;711;1321;79;1213;8;86;14
EA90;<3468, 5, 958>;False;15;15;688;1951;48;3240;58;74;81
EA83;<3468, 5, 958>;False;-5;-5;554;3105;22;2276;73;19;62
EA19;<3468, 5, 958>;False;-5;-5;802;1275;83;287;49;26;90
EA23;<3468, 5, 958>;False;-5;-5;675;1969;46;1320;48;88;59
EA188;<3468, 5, 958>;False;185;185;849;1349;16;305;74;5;89
EA180;<3468, 5, 958>;False;10;10;610;3547;13;1436;9;17;45
EA167;<3468, 5, 958>;True;235;235;657;2504;18;1445;70;60;23
EA162;<3468, 5, 958>;True;235;235;678;2577;12;3469;82;40;60
EA161;<3468, 5, 958>;False;-5;-5;601;3357;32;2699;29;25;76
EA153;<3468, 5, 958>;False;70;70;807;2157;19;3874;23;64;84
EA127;<3468, 5, 958>;False;10;10;656;3644;22;3633;86;37;89
EA85;<3468, 5, 958>;False;140;140;703;1143;5;1209;24;54;20
EA77;<3468, 5, 958>;False;0;0;801;916;69;1350;47;75;35
EA70;<3468, 5, 958>;False;45;45;624;2406;16;697;70;70;18
EA68;<3468, 5, 958>;False;-5;-5;646;3898;52;3676;61;85;11
EA57;<3468, 5, 958>;False;-5;-5;698;1070;70;1181;22;50;61
EA53;<3468, 5, 958>;False;-5;-5;785;3175;55;3617;57;29;37
EA58;<3468, 5, 958>;True;280;280;624;1757;13;2921;65;96;79
EA51;<3468, 5, 958>;False;65;65;617;2052;30;1551;65;32;48
EA45;<3468, 5, 958>;False;-5;-5;711;1432;94;3100;97;41;41
EA41;<3468, 5, 958>;False;145;145;773;1324;14;2194;29;59;71
EA23;<3468, 5, 958>;False;-5;-5;652;2548;42;2111;96;13;41
EA21;<3468, 5, 958>;False;10;10;653;3644;22;3633;86;37;89
EA9;<3468, 5, 958>;False;-5;-5;702;902;100;452;33;85;12
EA15;<3468, 5, 958>;False;-5;-5;675;1120;75;678;83;52;5
EA5;<3468, 5, 958>;False;10;10;617;1546;37;1183;24;68;41
EA199;<3468, 5, 958>;False;25;25;658;1402;39;2142;40;66;41
EA191;<3468, 5, 958>;False;-5;-5;755;2055;51;2363;17;70;53
EA187;<3468, 5, 958>;False;-5;-5;699;1280;72;2254;58;66;46
EA163;<3468, 5, 958>;False;-5;-5;841;1006;84;1899;16;5;57
EA165;<3468, 5, 958>;False;0;0;671;1070;66;1205;61;60;29
EA149;<3468, 5, 958>;False;-5;-5;662;975;84;1901;16;5;57
EA117;<3468, 5, 958>;False;15;15;653;2115;36;971;71;82;34
EA84;<3468, 5, 958>;False;0;0;699;3812;100;2194;52;68;41
EA69;<3468, 5, 958>;False;-5;-5;760;2857;52;1258;65;34;74
EA65;<3468, 5, 958>;True;140;140;470;3547;13;1436;9;17;45
EA36;<3468, 5, 958>;False;-5;-5;731;2282;89;2313;19;80;68
EA34;<3468, 5, 958>;False;-5;-5;726;679;93;3777;82;62;70
EA29;<3468, 5, 958>;False;0;0;805;1304;81;1160;87;95;12
EA20;<3468, 5, 958>;False;-5;-5;676;3900;96;1851;50;77;19
EA10;<3468, 5, 958>;False;30;30;851;1060;49;1965;41;64;83
EA14;<3468, 5, 958>;False;-5;-5;700;1070;70;1181;22;50;61
EA3;<3468, 5, 958>;False;-5;-5;703;599;21;1673;42;80;71
EA12;<3468, 5, 958>;False;55;55;589;1963;12;1044;69;16;47
EA75;<3468, 5, 958>;True;140;140;815;3335;23;2890;23;42;19
EA80;<3468, 5, 958>;False;55;55;666;1978;33;2328;54;51;50
EA64;<3468, 5, 958>;False;170;170;710;1143;5;1209;24;54;20
EA59;<3468, 5, 958>;False;0;0;658;1371;55;3374;50;87;86
EA46;<3468, 5, 958>;False;25;25;545;2309;20;626;17;76;17
EA13;<3468, 5, 958>;False;70;70;639;2050;11;2325;10;50;29
EA195;<3468, 5, 958>;False;0;0;769;2282;89;2313;19;80;68
EA196;<3468, 5, 958>;False;-5;-5;676;3112;86;1629;59;48;56
EA189;<3468, 5, 958>;False;10;10;697;929;32;2218;18;53;28
EA193;<3468, 5, 958>;True;100;100;421;3591;19;2849;96;12;76
EA186;<3468, 5, 958>;True;220;220;717;2393;14;3307;28;54;53
EA182;<3468, 5, 958>;False;-5;-5;703;2282;89;2313;19;80;68
EA144;<3468, 5, 958>;False;-5;-5;719;579;52;1793;29;71;88
EA142;<3468, 5, 958>;True;200;200;479;2100;12;3869;74;20;49
EA139;<3468, 5, 958>;False;0;0;705;1066;98;1540;94;41;14
EA136;<3468, 5, 958>;False;0;0;673;492;85;1537;41;77;41
EA132;<3468, 5, 958>;False;10;10;648;3423;35;2066;84;22;54
EA125;<3468, 5, 958>;False;100;100;673;1143;5;1209;24;54;20
EA122;<3468, 5, 958>;True;220;220;552;2087;11;4000;77;16;50
EA118;<3468, 5, 958>;False;10;10;638;2498;31;3308;85;8;52
EA99;<3468, 5, 958>;True;200;200;528;2753;8;2448;36;41;6
EA98;<3468, 5, 958>;False;55;55;714;2157;19;3874;23;64;84
EA78;<3468, 5, 958>;False;-5;-5;687;3296;88;1168;31;98;47
EA66;<3468, 5, 958>;False;10;10;814;2949;42;3004;88;98;77
EA72;<3468, 5, 958>;True;120;120;286;3681;6;2510;68;28;71
EA55;<3468, 5, 958>;True;120;120;287;3681;6;2510;68;28;71
EA44;<3468, 5, 958>;False;10;10;762;3281;17;1551;51;61;56
EA18;<3468, 5, 958>;True;275;275;855;2826;21;1702;35;91;49
EA7;<3468, 5, 958>;False;-5;-5;739;3333;39;2473;43;86;85
EA4;<3468, 5, 958>;True;275;275;679;2577;12;3469;82;40;60
EA198;<3468, 5, 958>;False;-5;-5;749;2592;42;2055;96;9;38
EA197;<3468, 5, 958>;True;275;275;715;2577;12;3469;82;40;60
EA175;<3468, 5, 958>;False;10;10;649;3357;32;2699;29;25;76
EA173;<3468, 5, 958>;False;20;20;776;1802;55;936;38;71;27
EA152;<3468, 5, 958>;False;0;0;810;1304;81;1160;87;95;12
EA155;<3468, 5, 958>;False;-5;-5;702;1503;82;1702;89;38;23
EA158;<3468, 5, 958>;True;100;100;307;4000;5;3026;50;68;74
EA131;<3468, 5, 958>;False;-5;-5;716;260;76;1478;29;43;60
EA133;<3468, 5, 958>;True;155;155;665;3890;11;1266;41;84;48
EA126;<3468, 5, 958>;False;65;65;729;1075;28;790;20;84;48
EA121;<3468, 5, 958>;False;0;0;654;3371;84;100;71;46;0
EA115;<3468, 5, 958>;False;0;0;669;2490;65;776;39;82;55
EA105;<3468, 5, 958>;False;40;40;636;2753;8;2448;36;41;6
EA83;<3468, 5, 958>;False;100;100;925;1286;26;714;96;46;51
EA82;<3468, 5, 958>;False;-5;-5;643;825;81;399;91;54;0
EA40;<3468, 5, 958>;True;195;195;524;2491;5;4000;86;27;54
EA30;<3468, 5, 958>;False;15;15;757;1724;51;2127;84;83;33
EA16;<3468, 5, 958>;False;0;0;793;3296;88;1168;31;98;47
EA2;<3468, 5, 958>;False;15;15;662;3674;36;2045;55;69;25
EA181;<3468, 5, 958>;False;-5;-5;658;2464;40;2974;67;35;25
EA176;<3468, 5, 958>;False;-5;-5;624;2288;38;1573;32;41;93
EA172;<3468, 5, 958>;False;75;75;600;2406;16;697;70;70;18
EA157;<3468, 5, 958>;False;40;40;771;1774;40;2187;99;5;90
EA160;<3468, 5, 958>;False;15;15;634;1508;43;1096;51;86;52
EA150;<3468, 5, 958>;False;0;0;675;1702;82;529;64;72;61
EA143;<3468, 5, 958>;False;-5;-5;657;1839;96;1435;9;56;81
EA107;<3468, 5, 958>;False;0;0;697;1876;86;2766;63;8;94
EA103;<3468, 5, 958>;True;100;100;654;3348;16;1380;55;86;34
EA71;<3468, 5, 958>;False;0;0;773;3320;96;154;61;64;97
EA74;<3468, 5, 958>;False;145;145;684;1143;5;1209;24;54;20
EA73;<3468, 5, 958>;False;0;0;637;1006;84;1899;16;5;57
EA67;<3468, 5, 958>;True;140;140;333;3681;6;2510;68;28;71
EA11;<3468, 5, 958>;False;105;105;700;1848;9;2007;19;31;80
EA174;<3468, 5, 958>;False;10;10;689;906;38;2728;74;66;25
EA170;<3468, 5, 958>;False;0;0;671;683;85;439;47;91;25
EA168;<3468, 5, 958>;False;70;70;639;2762;10;2150;37;62;46
EA164;<3468, 5, 958>;False;-5;-5;680;3332;81;3644;60;41;68
EA159;<3468, 5, 958>;False;30;30;783;1185;47;4000;100;49;54
EA145;<3468, 5, 958>;False;30;30;828;1054;41;318;74;18;73
EA138;<3468, 5, 958>;False;-5;-5;667;2079;43;405;13;56;97
EA134;<3468, 5, 958>;False;10;10;689;929;32;2218;18;53;28
EA130;<3468, 5, 958>;False;45;45;604;2577;12;3469;82;40;60
EA128;<3468, 5, 958>;True;370;370;670;1573;5;2215;86;89;35
EA116;<3468, 5, 958>;False;0;0;786;3592;98;546;17;88;65
EA111;<3468, 5, 958>;False;60;60;896;1814;27;1632;28;41;21
EA110;<3468, 5, 958>;False;10;10;896;3886;51;3613;61;85;12
EA109;<3468, 5, 958>;False;0;0;777;3135;83;201;68;61;61
EA100;<3468, 5, 958>;False;0;0;699;2256;73;2682;28;55;29
EA88;<3468, 5, 958>;False;0;0;852;2428;74;645;69;62;9
EA94;<3468, 5, 958>;True;160;160;354;3962;7;1619;10;39;9
EA63;<3468, 5, 958>;False;0;0;717;2907;65;2320;37;22;23
EA61;<3468, 5, 958>;True;210;210;546;3005;5;1511;78;74;18
EA48;<3468, 5, 958>;False;30;30;751;1075;28;790;20;84;48
EA33;<3468, 5, 958>;False;90;90;756;2644;10;2001;31;49;8
EA35;<3468, 5, 958>;False;10;10;632;3644;22;3633;86;37;89
EA32;<3468, 5, 958>;False;40;40;642;1985;30;1997;33;28;27
EA31;<3468, 5, 958>;False;-5;-5;654;1356;50;3506;29;82;49
EA26;<3468, 5, 958>;False;-5;-5;688;1259;93;483;78;84;69
EA24;<3468, 5, 958>;False;45;45;632;1356;50;3506;29;82;49
EA19;<3468, 5, 958>;False;30;30;653;1140;35;561;17;54;98
EA0;<3468, 5, 958>;False;145;145;872;1620;14;571;85;98;54
EA8;<3468, 5, 958>;False;45;45;758;1356;50;3506;29;82;49
EA183;<3468, 5, 958>;False;90;90;981;1688;24;3192;86;88;94
EA177;<3468, 5, 958>;False;-5;-5;637;2498;31;3308;85;8;52
EA148;<3468, 5, 958>;True;100;100;422;3309;22;1448;32;29;39
EA137;<3468, 5, 958>;False;-5;-5;658;2829;55;649;30;42;42
EA129;<3468, 5, 958>;False;-5;-5;706;432;45;198;24;49;20
EA124;<3468, 5, 958>;True;140;140;340;3681;6;2510;68;28;71
EA108;<3468, 5, 958>;False;60;60;573;2100;12;3869;74;20;49
EA104;<3468, 5, 958>;False;-5;-5;662;492;85;1537;41;77;41
EA93;<3468, 5, 958>;False;95;95;711;2288;38;1573;32;41;93
EA95;<3468, 5, 958>;False;15;15;696;1371;55;3374;50;87;86
EA86;<3468, 5, 958>;False;10;10;694;1685;53;2243;77;54;38
EA81;<3468, 5, 958>;False;0;0;683;1070;70;1181;22;50;61
EA76;<3468, 5, 958>;False;-5;-5;764;1802;55;936;38;71;27
EA54;<3468, 5, 958>;False;10;10;636;1358;46;3922;44;81;18
EA49;<3468, 5, 958>;False;25;25;635;1402;39;2142;40;66;41
EA22;<3468, 5, 958>;False;0;0;675;425;61;3547;16;84;48
EA1;<3468, 5, 958>;False;60;60;755;1950;30;2008;33;30;30
EA185;<3468, 5, 958>;False;90;90;812;1075;28;790;20;84;48
EA166;<3468, 5, 958>;False;-5;-5;697;2403;83;1167;52;52;80
EA141;<3468, 5, 958>;False;30;30;685;1075;28;790;20;84;48
EA119;<3468, 5, 958>;True;295;295;532;1573;5;2215;86;89;35
EA106;<3468, 5, 958>;False;0;0;675;486;62;290;15;60;6
EA101;<3468, 5, 958>;False;55;55;799;1215;31;345;98;35;54
EA102;<3468, 5, 958>;True;140;140;349;3830;9;2844;39;73;68
EA97;<3468, 5, 958>;False;40;40;635;1846;35;3850;89;58;64
EA91;<3468, 5, 958>;False;50;50;694;1075;28;790;20;84;48
EA90;<3468, 5, 958>;False;-5;-5;551;3966;25;2434;30;37;10
EA79;<3468, 5, 958>;False;0;0;832;1831;83;3220;25;66;71
EA52;<3468, 5, 958>;False;50;50;786;2030;38;722;62;88;28
EA56;<3468, 5, 958>;False;10;10;579;3419;16;1219;14;77;53
EA42;<3468, 5, 958>;False;65;65;816;2169;40;2691;98;92;59
EA43;<3468, 5, 958>;False;0;0;778;425;61;3547;16;84;48
EA37;<3468, 5, 958>;False;10;10;702;2970;24;2230;90;13;75
EA28;<3468, 5, 958>;False;-5;-5;695;683;85;439;47;91;25
EA17;<3468, 5, 958>;False;30;30;692;906;38;2728;74;66;25
EA6;<3468, 5, 958>;False;0;0;803;1304;81;1160;87;95;12
EA190;<3468, 5, 958>;False;0;0;801;2069;83;1285;54;54;56
EA192;<3468, 5, 958>;False;10;10;669;2928;30;1594;19;50;18
EA179;<3468, 5, 958>;False;50;50;744;1566;48;1281;32;66;27
