Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;supportActions;attackActions;dominanceLevel;deff1-ConquerRadius;deff1-AttackMinLife;deff1-SupportRadius;deff1-SupportMaxCap;deff1-SupportMinCap;off1-ConquerRadius;off1-AttackMinLife;off1-SupportRadius;off1-SupportMaxCap;off1-SupportMinCap;supp1-ConquerRadius;supp1-AttackMinLife;supp1-SupportRadius;supp1-SupportMaxCap;supp1-SupportMinCap;SupportTownRatio1;DeffTownRatio1;AtkTownRatio1;CategorisationRadius1;deff2-ConquerRadius;deff2-AttackMinLife;deff2-SupportRadius;deff2-SupportMaxCap;deff2-SupportMinCap;off2-ConquerRadius;off2-AttackMinLife;off2-SupportRadius;off2-SupportMaxCap;off2-SupportMinCap;supp2-ConquerRadius;supp2-AttackMinLife;supp2-SupportRadius;supp2-SupportMaxCap;supp2-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
KI_10;<3468, 5, 958>;False;0;586;0;0;0;50;0;0;2;1224;58;865;50;14;2994;64;680;13;93;3110;11;2875;77;58;59;87;43;3251;1521;5;3862;96;8;1579;36;719;97;36;1921;49;657;46;60;13;46;66;3858
KI_11;<3468, 5, 958>;False;0;618;0;0;0;50;0;0;2;2988;46;1252;61;5;294;78;606;96;31;2982;42;2273;99;11;69;92;73;3618;487;9;608;78;97;3432;72;3449;45;29;1641;93;2013;94;44;45;88;59;2788
KI_12;<3468, 5, 958>;False;0;553;0;0;0;50;0;0;2;1203;7;2828;55;17;2777;56;1881;25;49;294;30;2121;71;33;80;0;31;3026;798;28;1539;15;82;505;38;737;86;28;2826;28;1413;6;42;44;22;22;3468
KI_13;<3468, 5, 958>;False;0;530;0;0;0;50;0;0;2;3998;14;783;18;49;1294;81;1627;86;90;842;82;2783;13;68;2;41;19;3504;721;41;1623;52;19;694;11;243;15;71;3434;28;2253;5;61;11;19;62;3369
KI_14;<3468, 5, 958>;False;0;505;0;0;0;50;0;0;2;3505;98;1160;87;55;2460;65;1274;71;23;3176;45;1740;26;70;14;59;47;3651;164;16;1735;80;6;3332;99;3458;11;62;1817;28;3472;11;77;88;97;92;3237
KI_15;<3468, 5, 958>;False;0;569;0;0;0;50;0;0;2;113;61;1340;5;29;2281;58;1239;28;87;1730;65;1827;45;60;37;62;92;1504;1107;98;2264;25;80;2800;69;408;48;23;2655;43;2814;75;58;6;27;99;3307
KI_16;<3468, 5, 958>;False;0;624;0;0;0;50;0;0;2;716;44;1610;96;63;3988;11;162;71;15;1187;52;887;55;75;27;40;72;3561;2141;94;3931;40;81;486;98;3537;47;40;3530;74;3637;50;15;64;85;45;3470
KI_17;<3468, 5, 958>;False;0;546;0;0;0;50;0;0;2;730;97;2555;20;80;3722;74;2116;13;16;2645;42;949;9;40;98;51;7;2283;2337;78;892;46;11;1108;80;237;91;36;2918;64;3635;75;63;96;1;44;635
KI_18;<3468, 5, 958>;False;0;516;0;0;0;50;0;0;2;1987;24;2845;30;30;1053;63;149;40;47;2899;54;2085;77;76;38;28;67;3478;2918;33;3565;75;27;1811;92;2219;77;84;2560;73;1354;17;56;80;93;8;3997
KI_19;<3468, 5, 958>;False;0;493;0;0;0;50;0;0;2;3115;42;2048;64;55;3585;91;3090;27;17;3769;12;631;25;85;7;74;44;1834;3923;68;3312;65;45;3865;74;1273;19;88;1016;81;2663;86;35;0;52;95;1687
KI_20;<3468, 5, 958>;False;0;482;0;0;0;50;0;0;2;2994;76;2970;80;19;2138;64;2653;22;8;924;40;3979;97;11;30;83;34;359;3476;14;1341;75;82;1274;36;1697;18;42;317;30;2053;34;63;49;86;89;1681
KI_21;<3468, 5, 958>;False;0;549;0;0;0;50;0;0;2;1335;38;2202;35;42;3014;76;3774;22;54;2234;43;806;41;24;13;97;52;3858;3028;37;3170;92;70;1585;97;352;89;87;2136;15;1087;7;82;20;14;84;3861
KI_22;<3468, 5, 958>;False;0;443;0;0;0;50;0;0;2;3381;97;2214;13;70;2145;60;2653;19;53;2693;98;3963;34;81;42;68;88;3749;2153;99;3768;29;31;2178;62;2300;50;32;2358;22;3848;55;55;85;84;20;2115
KI_23;<3468, 5, 958>;False;0;475;0;0;0;50;0;0;2;1690;73;3972;65;39;237;13;166;52;88;3142;21;810;26;98;85;20;52;1190;2772;29;3589;19;89;3942;61;466;68;7;1018;36;229;65;79;93;2;63;3798
KI_24;<3468, 5, 958>;False;0;532;0;0;0;50;0;0;2;2680;69;2018;7;84;1726;70;3546;30;97;3458;58;1421;41;83;18;34;33;195;3166;43;3336;34;88;2044;48;1640;25;82;745;74;2227;41;67;63;79;91;3358
KI_25;<3468, 5, 958>;False;0;465;0;0;0;50;0;0;2;1460;93;3374;21;37;517;80;3625;35;62;624;78;1605;40;48;85;92;47;1943;865;93;128;19;81;3271;76;1990;42;76;1094;28;2119;19;21;27;64;56;557
KI_26;<3468, 5, 958>;False;0;593;0;0;0;50;0;0;2;2785;66;2772;84;68;681;86;1153;58;94;2326;62;3427;19;39;50;18;89;3108;760;25;992;78;56;1196;16;2943;57;79;490;11;781;48;69;20;91;41;1191
KI_27;<3468, 5, 958>;False;0;466;0;0;0;50;0;0;2;2646;88;3106;93;45;2043;80;278;40;19;1333;27;1804;25;80;43;60;99;3712;2146;72;1870;15;58;3558;61;2141;10;41;2628;38;2410;29;99;52;31;80;2349
KI_28;<3468, 5, 958>;False;0;471;0;0;0;50;0;0;2;1259;26;539;50;40;2537;73;1341;42;12;3858;91;714;24;99;52;89;15;2330;843;88;341;59;50;1466;10;1578;14;98;1907;5;3580;60;83;67;91;93;2980
KI_29;<3468, 5, 958>;False;0;495;0;0;0;50;0;0;2;1583;41;3099;34;13;483;46;3811;12;44;3058;84;723;71;60;27;3;63;3285;189;8;1180;43;59;2792;71;2099;62;62;465;94;2447;30;71;43;3;69;2267
KI_30;<3468, 5, 958>;False;0;530;0;0;0;50;0;0;2;3830;15;1446;89;38;103;7;901;35;61;2539;6;3290;37;99;62;44;30;152;1092;57;3415;43;22;441;47;3988;46;10;1315;93;1780;19;96;50;96;12;1235
KI_31;<3468, 5, 958>;False;0;571;0;0;0;50;0;0;2;2405;29;2887;30;83;3461;53;1761;17;62;3714;53;3274;36;16;36;42;19;2564;3421;59;1079;74;8;2935;32;2837;22;17;3529;8;3242;80;16;44;51;27;533
KI_32;<3468, 5, 958>;False;0;451;0;0;0;50;0;0;2;198;85;3153;20;87;3062;13;3683;80;95;1807;6;2855;92;38;73;34;36;3308;1356;75;2418;27;31;2394;82;1341;54;71;3559;34;1349;43;36;64;50;1;1628
KI_33;<3468, 5, 958>;False;0;487;0;0;0;50;0;0;2;111;49;3074;20;61;1695;74;1412;16;97;861;7;3062;55;25;83;30;36;3101;781;10;3827;29;88;1428;75;3139;20;16;814;67;3494;87;48;26;45;59;538
KI_34;<3468, 5, 958>;False;0;479;0;0;0;50;0;0;2;2766;70;2093;23;31;1594;94;2877;58;96;857;56;3899;79;95;35;80;79;2308;1029;46;738;85;93;471;69;1659;85;67;2609;37;1636;39;46;16;84;74;2931
KI_35;<3468, 5, 958>;False;0;475;0;0;0;50;0;0;2;1808;86;935;7;62;127;79;3793;71;32;3312;33;2436;39;10;99;4;80;783;2358;8;1798;62;12;307;35;2130;54;85;2206;70;1156;98;13;97;26;4;3925
KI_36;<3468, 5, 958>;False;0;527;0;0;0;50;0;0;2;1564;73;2834;22;52;663;71;2301;76;34;2027;16;448;13;10;7;37;1;3271;2766;83;1552;52;18;1100;79;2006;56;75;220;59;3837;48;5;97;26;16;589
KI_37;<3468, 5, 958>;False;0;437;0;0;0;50;0;0;2;3999;85;1490;65;73;275;50;2597;7;82;3530;94;3502;42;10;75;86;35;2726;1125;77;2675;6;38;1040;59;1925;5;68;2437;99;392;33;47;40;65;61;2683
KI_38;<3468, 5, 958>;False;0;592;0;0;0;50;0;0;2;3949;15;1265;98;71;353;58;2907;40;32;1395;44;3350;18;72;95;35;35;1722;3080;50;1973;69;19;3221;86;583;9;44;3387;32;991;90;55;9;69;20;1727
KI_39;<3468, 5, 958>;False;0;462;0;0;0;50;0;0;2;3150;27;1556;54;69;3958;90;3806;10;60;2754;83;892;52;83;35;34;18;3094;875;80;1102;62;36;3138;94;230;67;86;3197;67;3119;32;83;38;63;97;2446
KI_40;<3468, 5, 958>;False;0;514;0;0;0;50;0;0;2;2884;25;1501;42;54;1114;68;806;60;21;3059;19;3445;94;87;10;2;39;3566;2353;42;2372;61;78;1792;48;3744;98;21;2756;33;616;24;33;37;36;11;2524
KI_41;<3468, 5, 958>;False;0;512;0;0;0;50;0;0;2;2448;37;3740;62;61;3303;24;521;53;61;2386;19;2114;97;18;60;88;67;1653;2123;74;2176;75;92;2935;31;3051;46;31;1455;8;514;27;12;48;17;81;3511
KI_42;<3468, 5, 958>;False;0;614;0;0;0;50;0;0;2;2369;47;2341;94;6;3282;47;3705;80;30;2622;23;2241;15;8;62;78;97;2241;1694;66;3662;86;80;3740;8;3215;52;37;3320;54;518;73;40;87;65;62;532
KI_43;<3468, 5, 958>;False;0;594;0;0;0;50;0;0;2;3446;15;3275;13;61;2786;46;644;72;30;3179;58;1733;57;85;24;83;24;2941;2645;94;2278;80;74;1234;22;1796;78;58;2383;65;3943;95;36;85;39;55;2238
KI_44;<3468, 5, 958>;False;0;457;0;0;0;50;0;0;2;3452;19;2578;67;26;2218;54;358;78;5;2465;62;3341;70;24;9;13;62;3800;2399;7;703;99;43;141;5;3143;17;64;2282;53;1722;35;69;78;28;85;2472
KI_45;<3468, 5, 958>;False;0;513;0;0;0;50;0;0;2;1506;45;1045;47;70;3700;55;2906;60;36;3497;76;787;21;92;36;21;12;2129;628;42;1572;29;68;3515;80;2887;26;32;3889;58;1955;87;52;5;11;77;1824
KI_46;<3468, 5, 958>;False;0;500;0;0;0;50;0;0;2;3020;42;3057;24;46;2385;51;2893;51;12;1127;28;1871;17;79;45;54;77;2134;1549;38;849;62;60;338;62;588;81;46;1154;46;1532;49;38;98;20;68;134
KI_47;<3468, 5, 958>;False;0;508;0;0;0;50;0;0;2;3101;90;2512;81;37;3602;87;2412;37;99;3888;63;1746;19;17;35;24;8;795;690;5;3654;55;67;3850;30;963;12;19;993;42;3092;24;40;75;35;2;797
KI_48;<3468, 5, 958>;False;0;575;0;0;0;50;0;0;2;1694;71;205;16;96;3817;54;971;78;97;3485;30;2894;14;73;31;23;51;1859;3408;45;2612;86;33;1582;42;3323;98;79;2405;77;867;43;13;82;7;57;108
KI_49;<3468, 5, 958>;False;0;612;0;0;0;50;0;0;2;1267;15;3527;59;26;373;75;3826;89;77;1945;84;828;49;97;93;51;15;2093;1804;97;2098;46;48;184;98;2906;45;19;3846;91;2320;43;79;0;62;65;3043
KI_50;<3468, 5, 958>;False;0;500;0;0;0;50;0;0;2;833;75;908;98;75;1538;87;2856;96;81;1046;64;1497;20;99;21;69;91;2318;3624;27;1381;63;75;2089;27;2404;87;47;1898;31;1557;51;17;99;29;10;3586
KI_51;<3468, 5, 958>;False;0;490;0;0;0;50;0;0;2;1154;27;2272;94;18;847;56;3553;48;87;1759;12;3770;20;6;62;15;71;881;3463;78;2449;24;87;3360;98;2244;77;90;3303;21;3596;80;72;68;24;47;1141
KI_52;<3468, 5, 958>;False;0;455;0;0;0;50;0;0;2;1024;38;2709;19;96;2699;38;818;87;17;3664;77;2504;82;50;23;93;74;2171;515;71;1417;25;29;3954;82;2545;53;58;1665;27;1617;94;45;61;51;61;2097
KI_53;<3468, 5, 958>;False;0;516;0;0;0;50;0;0;2;1070;97;864;94;50;324;31;1714;84;67;2919;97;2583;33;87;18;25;23;2299;1150;44;1669;11;94;2505;82;1125;29;95;2853;87;1081;90;6;7;48;26;3077
KI_54;<3468, 5, 958>;False;0;474;0;0;0;50;0;0;2;2361;31;1699;46;38;758;62;2131;36;30;1845;9;2042;85;98;11;42;80;107;1349;40;2722;7;84;911;40;294;66;61;3337;18;2606;14;77;42;15;28;660
KI_55;<3468, 5, 958>;False;0;490;0;0;0;50;0;0;2;483;87;947;40;6;743;10;2322;16;58;2981;57;1240;86;38;81;36;64;3021;3342;69;1692;62;71;1315;88;2313;6;86;898;93;2549;9;93;66;66;3;1451
KI_56;<3468, 5, 958>;False;0;567;0;0;0;50;0;0;2;3827;61;2374;22;65;1371;94;3383;76;48;188;75;1243;53;16;84;89;11;2075;2108;72;1473;79;6;2857;32;3517;70;29;1490;56;1941;61;9;61;1;91;1778
KI_57;<3468, 5, 958>;False;0;615;0;0;0;50;0;0;2;820;59;2982;12;61;3603;91;2803;62;74;776;24;2474;26;20;15;66;57;1492;1465;47;1800;55;96;1530;73;3237;67;47;3399;9;1696;90;54;76;26;75;3653
KI_58;<3468, 5, 958>;False;0;478;0;0;0;50;0;0;2;2602;83;3823;30;95;3277;43;3512;76;77;873;64;2510;73;38;83;76;54;2073;1008;64;741;26;56;1470;99;124;88;10;1839;16;3728;79;77;3;47;40;1146
KI_59;<3468, 5, 958>;False;0;486;0;0;0;50;0;0;2;1536;95;1370;10;80;2021;32;1999;56;85;2395;42;1196;92;70;46;28;37;2128;3293;88;1017;67;24;318;44;2873;32;41;2992;86;1421;27;76;21;20;80;1443
KI_60;<3468, 5, 958>;False;0;504;0;0;0;50;0;0;2;3222;25;3442;96;8;2183;88;728;82;8;3308;76;3286;70;67;27;48;70;3919;365;45;2735;11;59;384;65;1419;82;58;1486;98;3192;52;80;42;41;71;775
KI_61;<3468, 5, 958>;False;0;537;0;0;0;50;0;0;2;1459;89;1073;10;6;1423;58;3155;98;5;255;18;132;52;34;85;68;43;527;598;88;1283;49;51;930;13;1816;7;98;239;57;2780;74;20;58;54;17;2153
KI_62;<3468, 5, 958>;False;0;474;0;0;0;50;0;0;2;188;72;517;87;97;965;15;169;40;32;1358;77;2889;57;5;3;13;90;2175;260;17;303;41;75;452;86;3169;54;65;1580;73;3576;95;28;85;0;7;481
KI_63;<3468, 5, 958>;False;0;515;0;0;0;50;0;0;2;3098;38;1679;53;84;2088;6;2185;52;60;1562;59;1465;33;51;54;58;10;2558;3816;36;2446;77;15;1966;70;1269;35;87;3828;16;258;94;91;25;5;77;415
KI_64;<3468, 5, 958>;False;0;568;0;0;0;50;0;0;2;3820;80;3476;45;23;3444;27;405;85;66;1390;25;2506;94;77;61;63;62;2567;716;38;2570;92;91;3305;74;3687;35;61;586;41;973;60;67;10;59;85;2140
KI_65;<3468, 5, 958>;False;0;556;0;0;0;50;0;0;2;3224;41;1391;99;96;1413;57;1076;76;85;2956;11;2613;32;26;89;40;33;2593;1251;28;3129;78;52;2698;56;1099;20;60;1802;83;3239;24;71;37;55;31;3346
KI_66;<3468, 5, 958>;False;0;514;0;0;0;50;0;0;2;329;57;3404;29;67;191;54;602;20;50;1908;37;1049;17;81;95;61;71;1073;3552;12;3646;59;18;927;8;941;91;91;570;62;3766;54;70;85;40;45;548
KI_67;<3468, 5, 958>;False;0;562;0;0;0;50;0;0;2;1334;12;3082;57;94;2518;34;3522;39;41;1103;77;3762;13;69;97;98;20;1661;2921;61;2024;13;58;2099;64;2248;78;95;343;65;1339;47;59;94;65;11;517
KI_68;<3468, 5, 958>;False;0;588;0;0;0;50;0;0;2;1634;33;1675;96;34;1910;79;1244;7;97;1849;47;2439;21;76;38;70;55;1387;1858;83;1866;21;48;1853;67;360;82;26;337;84;939;35;95;18;43;21;2653
KI_69;<3468, 5, 958>;False;0;534;0;0;0;50;0;0;2;3843;22;843;35;63;3381;92;311;95;62;333;9;647;85;64;22;94;26;3401;1351;14;2885;52;76;1215;25;753;29;51;340;74;133;77;69;25;12;54;251
KI_70;<3468, 5, 958>;False;0;559;0;0;0;50;0;0;2;3947;30;3122;53;80;3751;97;181;86;42;177;66;2278;6;87;65;52;40;960;3895;84;3891;43;94;395;28;3557;8;72;1367;24;1574;90;38;82;39;4;3324
KI_71;<3468, 5, 958>;False;0;627;0;0;0;50;0;0;2;3559;32;2173;29;41;1044;54;2519;95;68;2728;28;3379;99;78;10;75;99;3601;491;17;3021;42;39;2803;78;351;93;42;2300;47;3233;70;49;42;17;1;1044
KI_72;<3468, 5, 958>;False;0;501;0;0;0;50;0;0;2;3082;48;3262;30;92;1979;17;3688;77;41;3289;92;1556;12;42;41;63;26;3405;1714;27;1971;46;52;3289;54;649;50;61;3436;40;1494;81;55;73;58;7;258
KI_73;<3468, 5, 958>;False;0;606;0;0;0;50;0;0;2;2429;38;3254;47;61;212;55;465;72;68;2907;27;978;12;12;8;29;23;495;2905;67;2904;32;59;3827;19;1073;78;75;181;99;766;74;79;81;42;85;3039
KI_74;<3468, 5, 958>;False;0;463;0;0;0;50;0;0;2;2583;22;3624;35;16;416;6;3491;49;97;2510;73;3599;24;43;67;22;80;2594;3996;26;347;18;24;3887;77;305;37;84;1768;19;1976;59;50;74;95;70;3152
KI_75;<3468, 5, 958>;False;0;524;0;0;0;50;0;0;2;1529;63;237;46;48;851;48;3844;42;12;235;46;3918;84;52;29;57;28;2434;3308;62;1501;94;78;3407;45;3582;6;73;1988;10;2736;77;41;67;79;27;939
KI_76;<3468, 5, 958>;False;0;486;0;0;0;50;0;0;2;1901;43;1115;67;7;1082;34;2071;48;13;1611;39;2193;51;16;35;56;17;2069;3746;29;880;54;57;2209;62;1403;41;96;2543;14;119;15;32;22;25;67;363
KI_77;<3468, 5, 958>;False;0;487;0;0;0;50;0;0;2;2050;57;3468;26;55;2768;77;3007;52;62;2914;74;2318;45;95;29;97;61;1702;2854;59;2413;26;32;3225;8;3761;19;51;2683;22;2607;21;85;45;32;85;3616
KI_78;<3468, 5, 958>;False;0;587;0;0;0;50;0;0;2;2166;52;3234;75;32;271;61;1230;68;52;1698;52;371;64;56;98;89;0;2807;3236;96;1263;45;85;1264;94;3866;63;52;1233;68;1012;47;66;40;59;71;1256
KI_79;<3468, 5, 958>;False;0;511;0;0;0;50;0;0;2;2427;49;214;73;90;114;30;261;98;9;2294;67;2324;94;46;87;47;47;208;2398;23;3310;8;74;1614;74;2026;43;36;2073;52;2019;48;69;81;31;80;3011
KI_80;<3468, 5, 958>;False;0;487;0;0;0;50;0;0;2;3849;82;3631;78;58;1279;52;2260;79;51;3169;99;2167;77;47;5;41;58;2893;3430;81;416;37;38;3192;64;182;50;87;768;30;2431;70;76;4;56;5;1423
KI_81;<3468, 5, 958>;False;0;512;0;0;0;50;0;0;2;1794;25;1091;62;53;1463;44;2272;94;39;724;39;1486;35;48;57;45;18;1311;2248;73;105;99;12;2753;93;2777;88;49;3138;97;3283;31;7;42;35;81;3806
KI_82;<3468, 5, 958>;False;0;457;0;0;0;50;0;0;2;1971;77;1705;91;77;1716;29;285;80;25;2500;64;315;88;68;48;95;12;3775;3787;94;3877;21;61;391;48;2194;41;55;2759;38;912;25;26;67;75;31;592
KI_83;<3468, 5, 958>;False;0;508;0;0;0;50;0;0;2;3792;13;3292;85;77;1854;79;3498;60;84;3041;76;1531;63;10;19;18;49;511;588;74;3808;92;22;3181;8;3139;21;53;556;55;560;88;57;59;19;20;2172
KI_84;<3468, 5, 958>;False;0;582;0;0;0;50;0;0;2;1679;94;2226;24;85;507;85;1809;76;69;1982;81;3255;15;80;8;47;33;2076;2675;90;2609;10;51;1997;98;3982;92;40;3615;47;3591;48;64;56;47;65;1863
KI_85;<3468, 5, 958>;False;0;557;0;0;0;50;0;0;2;2600;61;1789;22;20;3348;84;3014;89;87;2470;59;3291;17;88;59;26;58;1456;313;65;1565;46;7;372;13;3116;77;88;813;64;3272;15;92;73;93;8;1338
KI_86;<3468, 5, 958>;False;0;664;0;0;0;50;0;0;2;1242;77;3356;80;87;1423;53;2627;84;57;2585;87;2215;80;51;12;68;31;785;2490;41;238;31;53;365;50;2329;84;39;2775;89;1536;7;50;69;15;62;3751
KI_87;<3468, 5, 958>;False;0;690;0;0;0;50;0;0;2;2285;62;557;14;34;2738;29;1381;98;82;2657;63;1724;46;11;38;75;92;897;1014;52;1605;31;80;916;62;1624;7;66;2791;84;707;29;20;52;18;43;2335
KI_88;<3468, 5, 958>;False;0;567;0;0;0;50;0;0;2;1988;49;962;98;17;616;31;3121;26;73;169;64;3162;75;13;46;82;79;1896;1703;48;965;53;95;3490;84;987;30;20;3607;10;3161;10;12;56;72;39;3558
KI_89;<3468, 5, 958>;False;0;512;0;0;0;50;0;0;2;3091;77;3265;58;19;544;10;1157;28;52;2079;73;3988;49;17;67;80;55;646;2320;58;2555;93;48;2381;27;3001;62;81;1062;80;3331;47;28;60;78;35;385
KI_90;<3468, 5, 958>;False;0;618;0;0;0;50;0;0;2;2026;32;722;34;41;818;64;1719;78;84;3669;50;2098;48;83;6;93;76;1282;3137;34;1410;42;76;1049;28;1201;76;8;421;86;1824;13;29;66;88;33;2394
KI_91;<3468, 5, 958>;False;0;465;0;0;0;50;0;0;2;1534;95;1162;8;73;3564;5;2672;80;40;269;65;1142;37;68;0;69;49;2697;477;33;1881;37;66;1342;6;632;62;74;1771;42;1751;94;13;68;70;4;2867
KI_92;<3468, 5, 958>;False;0;541;0;0;0;50;0;0;2;1812;58;2790;78;8;328;80;725;99;9;147;86;3982;24;99;70;77;91;3552;1944;23;3426;52;47;2013;62;1201;11;23;151;14;1493;67;86;48;97;90;1642
KI_93;<3468, 5, 958>;False;0;574;0;0;0;50;0;0;2;2736;81;3807;43;56;1606;42;1503;71;19;1262;76;258;86;78;11;67;62;1891;2960;93;2075;79;93;552;69;2771;7;20;2532;22;1554;26;90;9;64;92;1898
KI_94;<3468, 5, 958>;False;0;514;0;0;0;50;0;0;2;2326;32;303;9;86;2550;17;2497;89;43;619;89;3375;88;29;91;48;28;992;383;63;108;16;36;3547;29;1893;95;76;3291;29;529;61;76;31;55;39;3730
KI_95;<3468, 5, 958>;False;0;486;0;0;0;50;0;0;2;2836;98;807;32;30;3364;97;221;16;89;1143;71;744;32;36;30;93;39;327;1647;84;1264;52;28;1727;24;3559;69;24;3984;51;191;15;6;75;59;92;2833
KI_96;<3468, 5, 958>;False;0;493;0;0;0;50;0;0;2;2657;62;1702;22;37;2844;9;2499;14;7;1847;53;2663;85;94;88;66;36;1480;417;61;2542;79;21;715;43;2376;18;5;2780;53;373;55;31;9;87;24;708
KI_97;<3468, 5, 958>;False;0;523;0;0;0;50;0;0;2;556;90;3075;78;62;1995;74;3761;21;40;1171;66;2097;22;27;70;32;71;1048;3366;96;3893;52;90;3671;75;774;16;65;3568;40;3737;60;48;67;28;96;2054
KI_98;<3468, 5, 958>;False;0;477;0;0;0;50;0;0;2;471;83;2375;79;80;1058;35;884;81;77;3792;21;985;44;27;51;73;12;3787;2586;86;937;70;26;3521;22;3469;55;79;1457;5;1014;23;96;76;88;15;1095
KI_99;<3468, 5, 958>;False;0;494;0;0;0;50;0;0;2;3368;94;1144;58;71;2038;31;1702;23;97;800;43;3156;94;54;30;46;10;3073;1857;64;2024;88;99;2644;87;130;53;82;1482;41;2970;59;54;48;81;37;2208
KI_100;<3468, 5, 958>;False;0;552;0;0;0;50;0;0;2;3114;81;2788;94;33;967;78;1148;45;44;145;38;3545;29;33;29;92;66;951;2279;44;1119;99;27;3493;58;2639;29;63;722;51;3654;61;55;31;80;41;3722
KI_101;<3468, 5, 958>;False;0;546;0;0;0;50;0;0;2;2276;70;3129;25;8;2760;44;2748;32;86;1612;14;1092;48;39;6;53;44;3361;1162;12;3580;93;92;2441;75;1444;37;10;1128;33;2667;51;77;71;66;10;3726
KI_102;<3468, 5, 958>;False;0;479;0;0;0;50;0;0;2;2295;90;2519;16;35;656;79;2399;53;55;409;12;1448;53;96;26;6;35;3197;3655;76;1281;84;61;3430;18;2075;48;67;3779;90;3303;40;54;80;36;48;1745
KI_103;<3468, 5, 958>;False;0;579;0;0;0;50;0;0;2;1657;7;1890;7;91;975;91;2004;38;49;3149;8;3036;68;23;45;75;23;3700;531;88;2190;59;57;1640;83;2953;78;97;1890;10;3480;49;32;78;58;84;135
KI_104;<3468, 5, 958>;False;0;482;0;0;0;50;0;0;2;1349;86;195;19;42;552;73;473;79;69;1482;63;1949;39;74;74;73;66;2263;2349;32;877;12;8;1866;62;948;91;97;691;61;3910;42;19;34;83;98;1718
