Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;supportActions;attackActions;dominanceLevel;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
KI_139;<3468, 5, 958>;False;1;768;1;0;0;50;0;0;2;863;13;3453;92;25;748;96;3371;52;27;1694;58;176;31;18;35;77;87;1676
KI_140;<3468, 5, 958>;False;1;692;1;0;0;50;0;0;2;2529;41;2511;55;31;1768;17;3853;65;37;3445;84;1604;15;11;75;57;96;3717
KI_141;<3468, 5, 958>;False;31;539;1;30;0;50;0;7;2;325;84;2239;28;76;2731;14;2380;94;18;521;78;702;31;73;78;69;4;342
KI_142;<3468, 5, 958>;False;1;797;1;0;0;50;0;0;2;1443;85;1003;26;76;1929;44;144;25;28;1756;79;2928;41;42;18;30;42;2111
KI_143;<3468, 5, 958>;False;1;802;1;0;0;50;0;0;2;1974;42;2346;75;17;2379;45;3639;46;93;334;28;2573;86;40;82;78;48;2215
KI_144;<3468, 5, 958>;False;21;740;1;20;0;50;0;4;2;450;61;1284;61;43;2528;46;3806;16;11;2375;8;680;69;25;48;14;0;1451
KI_145;<3468, 5, 958>;False;1;667;1;0;0;50;0;0;2;3255;19;354;26;44;532;27;1125;21;62;2419;98;2040;88;35;4;78;2;3199
KI_146;<3468, 5, 958>;False;1;675;1;0;0;50;0;0;2;2237;92;3608;86;42;305;26;2685;70;99;3585;73;455;52;54;72;84;63;1208
KI_147;<3468, 5, 958>;False;1;853;1;0;0;50;0;0;2;2190;67;2595;72;34;214;12;2530;59;54;1700;96;3651;24;94;7;23;70;442
KI_148;<3468, 5, 958>;False;1;684;1;0;0;50;0;0;2;1088;50;1471;19;12;2424;35;2390;29;30;2896;53;2907;82;18;69;85;86;1532
KI_149;<3468, 5, 958>;False;1;679;1;0;0;50;0;0;2;1147;33;776;59;61;1720;20;1231;12;27;1869;23;1468;94;7;17;84;92;2434
KI_150;<3468, 5, 958>;False;1;826;1;0;0;50;0;0;2;2863;95;1634;51;38;3074;8;1135;58;30;2434;99;524;96;89;99;78;84;3464
KI_151;<3468, 5, 958>;False;1;714;1;0;0;50;0;0;2;2215;61;2690;22;23;1865;41;697;63;57;241;75;3570;26;84;57;46;60;2637
KI_152;<3468, 5, 958>;False;1;624;1;0;0;50;0;0;2;3614;99;1247;57;60;2722;74;2427;87;99;1260;68;3581;67;94;9;50;14;955
KI_153;<3468, 5, 958>;False;1;768;1;0;0;50;0;0;2;650;45;2569;82;49;952;99;3729;97;50;2711;78;3367;72;57;13;50;45;2724
KI_154;<3468, 5, 958>;False;1;746;1;0;0;50;0;0;2;3722;19;423;73;78;3968;10;3012;61;25;3024;14;2770;77;74;26;78;77;3754
KI_155;<3468, 5, 958>;False;1;650;1;0;0;50;0;0;2;2629;53;2906;13;75;1144;99;2336;58;32;1471;23;155;45;59;68;53;59;153
KI_156;<3468, 5, 958>;False;1;715;1;0;0;50;0;0;2;465;15;3419;79;90;3775;82;2950;18;32;1306;69;3720;63;49;98;43;21;3404
KI_157;<3468, 5, 958>;False;1;780;1;0;0;50;0;0;2;1095;22;3571;71;96;3897;37;174;24;57;1801;44;1374;21;52;8;20;36;3962
KI_158;<3468, 5, 958>;False;1;796;1;0;0;50;0;0;2;3071;53;3220;90;9;3063;22;3713;17;94;2863;36;3776;7;85;84;72;88;2748
KI_159;<3468, 5, 958>;False;1;652;1;0;0;50;0;0;2;1435;45;3634;58;25;3818;18;3709;79;42;3804;9;2088;66;97;56;77;71;2953
KI_160;<3468, 5, 958>;False;1;649;1;0;0;50;0;0;2;3368;68;1840;59;13;3561;22;2960;75;36;1704;54;393;42;70;54;62;23;3005
KI_161;<3468, 5, 958>;False;41;723;1;40;0;50;0;4;2;1434;71;1731;42;61;3966;42;1535;27;78;2204;98;3301;99;72;83;88;4;3212
KI_162;<3468, 5, 958>;False;1;780;1;0;0;50;0;0;2;2009;25;2475;49;65;3243;67;3704;97;49;3761;77;3019;80;79;63;95;95;2828
KI_163;<3468, 5, 958>;False;1;741;1;0;0;50;0;0;2;2298;25;3254;20;5;2418;85;2866;12;19;3290;48;2413;35;86;27;93;79;1004
KI_164;<3468, 5, 958>;False;61;927;1;60;0;50;0;10;2;3411;36;3218;88;17;2116;44;564;78;76;2581;27;115;63;48;82;68;64;200
KI_165;<3468, 5, 958>;False;1;678;1;0;0;50;0;0;2;428;14;827;18;49;2703;33;3037;96;66;3825;26;2377;88;36;88;68;20;3530
KI_166;<3468, 5, 958>;False;1;825;1;0;0;50;0;0;2;257;19;1261;38;87;2948;53;3904;28;16;2405;26;2313;82;72;70;84;58;3789
